dc_key,dispatch_date,dispatch_time,location_block,text_general_code
202117020893,2021-08-08,11:31:00,1800 BLOCK SOUTH ST,Thefts
202103018295,2021-04-22,21:30:00,1000 BLOCK TASKER ST,Vandalism/Criminal Mischief
202124061029,2021-09-13,06:42:00,2200 BLOCK E WESTMORELAND ST,Thefts
202103046897,2021-10-10,01:28:00,2100 BLOCK S 10TH ST,Theft from Vehicle
202103017568,2021-04-18,07:25:00,700 BLOCK Federal St,Theft from Vehicle
202102011520,2021-03-22,17:33:00,200 BLOCK BENNER ST,Other Assaults
202119011151,2021-02-27,02:01:17,5300 BLOCK W GIRARD AV,Vandalism/Criminal Mischief
202135011723,2021-02-15,18:22:00,5700 BLOCK N 12TH ST,All Other Offenses
202135011493,2021-02-14,21:12:00,5700 BLOCK N AMERICAN ST,Thefts
202125006929,2021-02-02,20:34:00,4800 BLOCK N 2ND ST,Other Assaults
202139013673,2021-03-16,16:58:00,5400 BLOCK WISSAHICKON AVE,Theft from Vehicle
202115008144,2021-02-02,03:34:50,4700 BLOCK OAKLAND ST,Arson
202103011876,2021-03-16,08:37:00,1600 BLOCK S FRONT ST,Theft from Vehicle
202114013786,2021-03-16,11:17:05,5800 BLOCK CRITTENDEN ST,Aggravated Assault Firearm
202135002679,2021-01-11,12:01:00,6300 BLOCK N BROAD ST,Thefts
202135002519,2021-01-10,18:41:53,6300 BLOCK N BROAD ST,Thefts
202103042771,2021-09-15,20:18:00,500 BLOCK S CHRISTOPHER COLUMBUS BLVD,Theft from Vehicle
202124007159,2021-01-30,14:06:38,2300 BLOCK E BUTLER ST,Other Assaults
202124027857,2021-04-30,08:09:00,2900 BLOCK ELLA ST,Arson
202124005468,2021-01-23,16:43:00,2600 BLOCK E SOMERSET ST,Thefts
202109009008,2021-03-29,11:35:00,1900 BLOCK MARKET ST,Thefts
202115056171,2021-07-31,12:18:00,N PENN ST & ADAMS AV ,Motor Vehicle Theft
202105003029,2021-03-09,16:13:11,300 BLOCK KRAMS AV,Fraud
202119047880,2021-08-25,15:45:00,4100 BLOCK PRESIDENTIAL BLVD,Theft from Vehicle
202135062396,2021-09-13,19:11:00,100 BLOCK E GODFREY AV B504,Thefts
202109001293,2021-01-14,21:19:47,1400 BLOCK CHESTNUT ST,Aggravated Assault No Firearm
202139002173,2021-01-13,14:08:00,4000 BLOCK RIDGE AV,Thefts
202106016110,2021-04-25,04:41:00,400 BLOCK N 5TH ST,Burglary Non-Residential
202115017608,2021-03-13,13:13:00,3000 BLOCK WELLINGTON ST,All Other Offenses
202106016125,2021-04-25,10:17:00,400 BLOCK N 5TH ST,Thefts
202112055819,2021-08-25,11:55:00,4500 BLOCK ISLAND AV,Thefts
202109000051,2021-01-01,12:22:00,1900 BLOCK CHESTNUT ST,Thefts
202109000057,2021-01-01,13:28:36,1900 BLOCK CHESTNUT ST,Thefts
202109000074,2021-01-01,19:22:31,1900 BLOCK CHESTNUT ST,Thefts
202126000976,2021-01-10,03:30:00,2500 BLOCK ARAMINGO AV,Thefts
202108005513,2021-02-23,10:07:53,4600 BLOCK KENDRICK ST,Fraud
202116000214,2021-01-02,19:36:52,0 BLOCK N 52ND ST,Aggravated Assault No Firearm
